#---
#profile: tabular-data-package
#name: synthetic_df
#fields:
#- name: bmi
#  type: number
#- name: living_expenses
#  type: number
#- name: IQ
#  type: number
#- name: GPA
#  type: number
#- name: sex
#  type: string
#- name: Happiness
#  type: string
#  levels:
#  - low
#  - medium
#  - high
#--- 
bmi,living_expenses,IQ,GPA,sex,Happiness
26.2992064340015,339.66849390051,100.705062960082,2.96590318223434,Male,medium
21.0905224924814,386.338562800597,122.883321421905,3.89919986104974,Female,low
18.4065937715482,362.028426518241,113.32325634758,3.6586576605821,Female,high
24.0064947048855,382.079049117514,91.9425692217611,2.75725598233558,Male,low
22.3953244872514,334.526290481331,127.849995972673,3.54446508971015,Female,high
23.8015010823015,295.184365555896,96.1988162387872,2.89256397221837,Female,medium
25.0536123320381,314.936112669962,108.133514330669,3.21894411877858,Male,high
18.4271054307148,357.505338230932,96.3096198979252,3.24334583608761,Female,high
24.5594915386636,356.266434598254,96.3200671137916,2.90605382022288,Male,medium
22.9700437926748,364.344852285414,89.1182701421932,2.38315868385586,Female,low
21.0724108488222,331.018284922596,89.5033462484039,2.58678612703072,Female,low
23.516796700275,395.071976975061,133.683090992922,4,Male,high
